net,test case,ground truth,your output,your runtime,your point
fc_1,img1_mnist_0.0373.txt,not verified,verified,1.273,-2
fc_1,img6_mnist_0.0419.txt,verified,not verified,1.182,0
fc_1,img7_mnist_0.0915.txt,verified,not verified,1.266,0
fc_2,img2_mnist_0.0908.txt,not verified,not verified,1.187,0
fc_2,img7_mnist_0.0843.txt,verified,not verified,1.274,0
fc_2,img8_mnist_0.0750.txt,verified,verified,1.187,1
fc_3,img2_mnist_0.0615.txt,not verified,crashed (not verified),1.177,0
fc_3,img3_mnist_0.0019.txt,verified,crashed (not verified),1.188,0
fc_3,img8_mnist_0.0751.txt,verified,crashed (not verified),1.174,0
fc_4,img0_mnist_0.1132.txt,not verified,crashed (not verified),1.185,0
fc_4,img3_mnist_0.0014.txt,verified,crashed (not verified),1.158,0
fc_4,img4_mnist_0.0552.txt,verified,crashed (not verified),1.18,0
fc_5,img2_mnist_0.1475.txt,not verified,crashed (not verified),1.18,0
fc_5,img7_mnist_0.1009.txt,verified,crashed (not verified),1.2,0
fc_5,img8_mnist_0.1020.txt,verified,crashed (not verified),1.18,0
fc_6,img2_mnist_0.0386.txt,not verified,crashed (not verified),1.154,0
fc_6,img4_mnist_0.0619.txt,verified,crashed (not verified),1.179,0
fc_6,img8_mnist_0.0316.txt,verified,crashed (not verified),1.16,0
fc_6,img2_cifar10_0.0029.txt,not verified,crashed (not verified),1.173,0
fc_6,img3_cifar10_0.0051.txt,not verified,crashed (not verified),1.16,0
fc_6,img8_cifar10_0.0029.txt,verified,crashed (not verified),1.143,0
fc_7,img0_mnist_0.0598.txt,not verified,crashed (not verified),1.184,0
fc_7,img3_mnist_0.0700.txt,verified,crashed (not verified),1.186,0
fc_7,img7_mnist_0.0521.txt,verified,crashed (not verified),1.156,0
conv_1,img0_mnist_0.1671.txt,not verified,verified,1.279,-2
conv_1,img6_mnist_0.1120.txt,verified,verified,1.305,1
conv_1,img8_mnist_0.1272.txt,verified,verified,1.281,1
conv_2,img0_mnist_0.1211.txt,not verified,crashed (not verified),1.266,0
conv_2,img4_mnist_0.0974.txt,verified,crashed (not verified),1.246,0
conv_2,img7_mnist_0.1582.txt,verified,crashed (not verified),1.273,0
conv_3,img3_cifar10_0.0221.txt,not verified,crashed (not verified),1.382,0
conv_3,img6_cifar10_0.0133.txt,verified,crashed (not verified),1.348,0
conv_3,img7_cifar10_0.0124.txt,verified,crashed (not verified),1.341,0
conv_4,img1_mnist_0.1851.txt,not verified,crashed (not verified),1.304,0
conv_4,img7_mnist_0.1962.txt,verified,crashed (not verified),1.269,0
conv_4,img8_mnist_0.2113.txt,verified,crashed (not verified),1.276,0

total points: -1
